model,kind,base_channels,parameters,corruption,mean_effective_sigma,rmse_to_clean_teacher,binary_accuracy_to_clean_teacher,binary_balanced_accuracy_to_clean_teacher,binary_agreement_with_own_clean_output,mae_from_own_clean_output
distilled,unet,16,761665,poisson_peak_10,46.30804951985677,0.1911621038240389,0.8969333902994792,0.89704256341404,0.944834187825521,0.05355013161897659
distilled,unet,16,761665,speckle_std_0.1,11.499993960062662,0.17023575666777094,0.9135106404622396,0.9136747544172283,0.9898713175455729,0.009576474937299887
distilled,unet,16,761665,speckle_std_0.25,27.55811373392741,0.1750466780658445,0.9096211751302083,0.9097264444191626,0.9685544840494792,0.02993307200570901
distilled,unet,16,761665,saltpepper_prob_0.01,14.510390281677246,0.1700252289506332,0.913822530110677,0.913972023276393,0.986153055826823,0.012835285626351833
distilled,unet,16,761665,saltpepper_prob_0.05,32.52815373738607,0.18122405454556706,0.904039306640625,0.9041046945032434,0.9588444010416667,0.0409701702495416
distilled,unet,16,761665,sinusoid_amp_15,10.434033393859863,0.1772288202021747,0.9070884195963541,0.9072266792399217,0.9792897542317709,0.018542293459177017
distilled,unet,16,761665,sinusoid_amp_30,20.551355997721355,0.20191178248773448,0.890728759765625,0.8909648738687845,0.9526967366536457,0.044500367095073066
conditional_oracle,unet_conditional,16,761825,clean,0.0,0.12972782400252017,0.9286526489257813,0.9285682226795587,1.0,0.0
conditional_oracle,unet_conditional,16,761825,awgn_15,14.555205980936686,0.14488918201985862,0.9203257242838542,0.9203479761701907,0.9710531616210938,0.03058020646373431
conditional_oracle,unet_conditional,16,761825,awgn_50,44.777400970458984,0.2643412052592798,0.8532797241210938,0.8537514659090506,0.8620011393229167,0.1527123749256134
conditional_oracle,unet_conditional,16,761825,awgn_75,62.56975428263346,0.30038197894184404,0.8219733683268229,0.8225992566553182,0.8261932373046874,0.1877416123946508
conditional_oracle,unet_conditional,16,761825,awgn_100,76.81286112467448,0.3235347699835334,0.7943572998046875,0.7951052006992909,0.7966374715169272,0.21122942864894867
conditional_oracle,unet_conditional,16,761825,awgn_125,87.89681752522786,0.34826549509114335,0.7630282592773437,0.7639263297638499,0.7612156168619791,0.23771481215953827
conditional_oracle,unet_conditional,16,761825,awgn_150,96.28637186686198,0.377913619195619,0.7266513061523437,0.7277340199507462,0.7207210286458333,0.2664952178796132
conditional_oracle,unet_conditional,16,761825,corr_awgn_25,23.65495491027832,0.28922744332331457,0.7685348510742187,0.7676057390187716,0.7979679361979167,0.1566872795422872
conditional_oracle,unet_conditional,16,761825,corr_awgn_50,44.56797409057617,0.30829912745921784,0.7405342610677084,0.7396338613410951,0.7638274129231771,0.19059765338897705
conditional_oracle,unet_conditional,16,761825,poisson_peak_30,28.075403849283855,0.17283059424317304,0.9063827514648437,0.9064393021398066,0.9440610758463542,0.06460532297690709
conditional_oracle,unet_conditional,16,761825,poisson_peak_10,46.30804951985677,0.25012034615891976,0.8602300008138021,0.860601861698891,0.8738081868489583,0.1394589344660441
conditional_oracle,unet_conditional,16,761825,speckle_std_0.1,11.499993960062662,0.13890727319647023,0.9231939697265625,0.9231753292228025,0.9795852661132812,0.022703128556410473
conditional_oracle,unet_conditional,16,761825,speckle_std_0.25,27.55811373392741,0.17404329860424103,0.9065248616536459,0.9065798888470635,0.9436561075846354,0.06520925958951314
conditional_oracle,unet_conditional,16,761825,saltpepper_prob_0.01,14.510390281677246,0.14431539228810566,0.9209830729166667,0.9209766332767458,0.9696631876627603,0.033000403394301735
conditional_oracle,unet_conditional,16,761825,saltpepper_prob_0.05,32.52815373738607,0.20341477152558796,0.8906022135416667,0.8907945501857546,0.9171574910481771,0.09644508361816406
conditional_oracle,unet_conditional,16,761825,sinusoid_amp_15,10.434033393859863,0.14331360095702186,0.9213198852539063,0.9213311640820756,0.968878173828125,0.03303501754999161
conditional_oracle,unet_conditional,16,761825,sinusoid_amp_30,20.551355997721355,0.17425818002293955,0.906138916015625,0.9062375384265922,0.9365046183268229,0.0669646089275678
conditional_robust,unet_conditional,16,761825,clean,0.0,0.12076465655731326,0.9370135498046875,0.9370312573437672,1.0,0.0
conditional_robust,unet_conditional,16,761825,awgn_15,14.555205980936686,0.16248535967019143,0.9147950236002604,0.9149955938123815,0.9556114705403645,0.04642157753308614
conditional_robust,unet_conditional,16,761825,awgn_50,44.777400970458984,0.2274573695756041,0.8681564331054688,0.8684590083425432,0.9028490193684896,0.10333703458309174
conditional_robust,unet_conditional,16,761825,awgn_75,62.56975428263346,0.2494568070777033,0.8504425048828125,0.850779753091783,0.8831392415364583,0.1334764858086904
